"epoch","Group: Unmasked - train/distill_loss","Group: Unmasked - train/distill_loss__MIN","Group: Unmasked - train/distill_loss__MAX","Group: Unmasked - _step","Group: Unmasked - _step__MIN","Group: Unmasked - _step__MAX","Group: Masked - train/distill_loss","Group: Masked - train/distill_loss__MIN","Group: Masked - train/distill_loss__MAX","Group: Masked - _step","Group: Masked - _step__MIN","Group: Masked - _step__MAX"
"113","0.006135490909218788","0.0060836682096123695","0.0062300157733261585","227","227","227","0.007663978170603514","0.007552888244390488","0.007736992556601763","227","227","227"
"114","0.006166795920580626","0.006132045760750771","0.006237511523067951","229","229","229","0.007638414297252894","0.007560433354228735","0.0077538094483315945","229","229","229"
"115","0.006135664042085409","0.006040879059582949","0.006191116292029619","231","231","231","0.007587052136659622","0.007520705461502075","0.007682074327021837","231","231","231"
"116","0.006162138190120459","0.006108537316322327","0.006204480770975351","233","233","233","0.007598990295082331","0.007470474578440189","0.0077565195970237255","233","233","233"
"117","0.006099973060190678","0.006037491839379072","0.006152922287583351","235","235","235","0.007531796395778656","0.007405003532767296","0.007676978129893541","235","235","235"
"118","0.006088250130414963","0.006038860883563757","0.006124567240476608","237","237","237","0.00752324778586626","0.007362904027104378","0.007618305739015341","237","237","237"
"119","0.006057888083159923","0.006002537440508604","0.006102034822106361","239","239","239","0.007581673376262188","0.007353793829679489","0.00787469930946827","239","239","239"
"120","0.006048724055290222","0.006015608552843332","0.006090812385082245","241","241","241","0.007544872164726257","0.0073756990022957325","0.007810643408447504","241","241","241"
"121","0.006116874981671572","0.00597264152020216","0.006189686246216297","243","243","243","0.007420358993113041","0.007292957045137882","0.007529440335929394","243","243","243"
"122","0.006045025307685137","0.0059753782115876675","0.006093928124755621","245","245","245","0.007451153360307217","0.00728748831897974","0.007596556097269058","245","245","245"
"123","0.005993291269987822","0.005960086826235056","0.006052455864846706","247","247","247","0.00740913487970829","0.007237288635224104","0.0075403801165521145","247","247","247"
"124","0.006016665790230036","0.006004578899592161","0.006046381779015064","249","249","249","0.007422307506203651","0.007263231556862593","0.007588676642626524","249","249","249"
"125","0.006002568639814854","0.005974124651402235","0.0060460250824689865","251","251","251","0.007424556277692318","0.007292464375495911","0.0075902631506323814","251","251","251"
"126","0.0060289866290986534","0.005971532315015793","0.006146677769720554","253","253","253","0.007345109432935715","0.007190789561718702","0.007477422244846821","253","253","253"
"127","0.006006334070116281","0.005929502192884684","0.006090706214308739","255","255","255","0.007319082599133253","0.007184821646660566","0.007478245999664068","255","255","255"
"128","0.005962211638689041","0.005875511094927788","0.006068085785955191","257","257","257","0.007278006337583065","0.0071442569606006145","0.007483037654310465","257","257","257"
"129","0.006000801082700491","0.00594022311270237","0.006111327093094587","259","259","259","0.0073298999108374115","0.0072393412701785564","0.007525080814957619","259","259","259"
"130","0.005984116345643997","0.00586384441703558","0.00613105483353138","261","261","261","0.007348860800266266","0.007263069041073322","0.007437102496623993","261","261","261"
"131","0.005965764820575714","0.005884163547307253","0.006099057849496603","263","263","263","0.007259212061762809","0.007202174048870802","0.0073214005678892136","263","263","263"
"132","0.00593232000246644","0.005852756556123495","0.006044001784175634","265","265","265","0.007279334124177694","0.007146304007619619","0.007428944576531649","265","265","265"
"133","0.0059267132543027404","0.00586920790374279","0.005968076176941395","267","267","267","0.007291538920253515","0.0071159545332193375","0.007498728111386299","267","267","267"
"134","0.005885174404829741","0.005847638472914696","0.005923724267631769","269","269","269","0.007222386077046394","0.007067796774208546","0.007360410410910845","269","269","269"
"135","0.005930805671960115","0.00586358830332756","0.0059743341989815235","271","271","271","0.007296497747302055","0.007137972861528397","0.007597577758133411","271","271","271"
"136","0.005889075342565775","0.005798235069960356","0.005951299332082272","273","273","273","0.007249618321657181","0.007122662849724293","0.007315287832170725","273","273","273"
"137","0.005905213952064514","0.005826231557875872","0.006084785331040621","275","275","275","0.007297142129391432","0.00714194867759943","0.0075289527885615826","275","275","275"
"138","0.00584937147796154","0.005808352027088404","0.005875786766409874","277","277","277","0.007160227093845606","0.007094572763890028","0.007207891903817654","277","277","277"
"139","0.005909419618546963","0.005829834379255772","0.005997428670525551","279","279","279","0.0071695826947689055","0.007019637152552605","0.007303249556571245","279","279","279"
"140","0.005876458995044231","0.005819076672196388","0.005963698960840702","281","281","281","0.00717474240809679","0.007135618943721056","0.007270346861332655","281","281","281"
"141","0.005837186612188816","0.005783911794424057","0.005922070704400539","283","283","283","0.007199086900800467","0.007087816949933767","0.007285038474947214","283","283","283"
"142","0.005822592973709106","0.005786835681647062","0.0058781965635716915","285","285","285","0.007145448587834835","0.007072481792420149","0.007302303332835436","285","285","285"
"143","0.005805059336125851","0.0057535478845238686","0.00583340460434556","287","287","287","0.007095340732485056","0.006943824235349894","0.007221473380923271","287","287","287"
"144","0.00586487352848053","0.005826801061630249","0.005902748089283705","289","289","289","0.007180129364132881","0.007106781471520662","0.007304577622562647","289","289","289"
"145","0.005823731422424316","0.005779511295258999","0.0058849952183663845","291","291","291","0.007124876510351897","0.007077869959175587","0.007198068778961897","291","291","291"
"146","0.005795361567288637","0.005753593984991312","0.005858100950717926","293","293","293","0.007189875654876232","0.007068050093948841","0.007264768239110708","293","293","293"
"147","0.005773189570754766","0.005723867099732161","0.00580690149217844","295","295","295","0.007153461873531342","0.007075469009578228","0.007278170436620712","295","295","295"
"148","0.0058243188075721266","0.005787122994661331","0.005861884448677301","297","297","297","0.007170242909342051","0.007053409703075886","0.007240519393235445","297","297","297"
"149","0.00576194254681468","0.005716129671782255","0.005817233584821224","299","299","299","0.007090086024254561","0.006938597187399864","0.007204355206340551","299","299","299"
"150","0.0057509178295731544","0.005681255832314491","0.005799550563097","301","301","301","0.007060150988399983","0.0068915728479623795","0.0071919881738722324","301","301","301"
"151","0.005751490965485573","0.005719092208892107","0.005831530783325434","303","303","303","0.007026751618832349","0.00689186854287982","0.007148860488086939","303","303","303"
"152","0.005787792149931192","0.005737224128097296","0.005852878093719482","305","305","305","0.007096535619348287","0.006967267952859402","0.0073320637457072735","305","305","305"
"153","0.005786522477865219","0.005745786242187023","0.005843440070748329","307","307","307","0.007019218988716602","0.006894375197589397","0.007101134397089481","307","307","307"
"154","0.005726358946412801","0.005693669896572828","0.005745269823819399","309","309","309","0.007108602952212095","0.006991778500378132","0.0072454530745744705","309","309","309"
"155","0.005739085003733635","0.005693688057363033","0.005774661898612976","311","311","311","0.0069945894181728365","0.006923352833837271","0.007038563024252653","311","311","311"
"156","0.005682405270636082","0.005619613453745842","0.005719801411032677","313","313","313","0.007038818951696157","0.006953846663236618","0.007123867049813271","313","313","313"
"157","0.0057185162790119645","0.005680539179593325","0.005752121564000845","315","315","315","0.007030929159373045","0.006911528296768665","0.007141312584280968","315","315","315"
"158","0.005736367776989937","0.005674025043845177","0.005834934301674366","317","317","317","0.006996559351682663","0.006897725630551577","0.007209985051304102","317","317","317"
"159","0.005694698169827461","0.005633494816720486","0.005796595010906458","319","319","319","0.0070292585529387","0.006980258040130138","0.007068869192153215","319","319","319"
"160","0.0057054167613387104","0.005658496171236038","0.00574758555740118","321","321","321","0.006969725806266069","0.006861943285912275","0.007088393438607454","321","321","321"
"161","0.005710406042635441","0.005656963214278221","0.005770185496658087","323","323","323","0.007013002783060074","0.006899985484778881","0.0071202595718204975","323","323","323"
"162","0.005673684552311898","0.005643179174512625","0.005698852241039276","325","325","325","0.006971933599561453","0.0068805343471467495","0.007091569248586893","325","325","325"
"163","0.005691764876246452","0.005645287223160267","0.005717359483242035","327","327","327","0.006926335021853447","0.00682360352948308","0.007104760501533747","327","327","327"
"164","0.005665789265185595","0.005580846685916185","0.005728659685701132","329","329","329","0.006870986148715019","0.006768602412194014","0.006916199345141649","329","329","329"
"165","0.005679503455758095","0.0056513091549277306","0.00573767488822341","331","331","331","0.006998248677700758","0.00681251659989357","0.007166408933699131","331","331","331"
"166","0.005654076021164656","0.0055970558896660805","0.005763911176472902","333","333","333","0.006904986314475536","0.006842122413218021","0.006949638482183218","333","333","333"
"167","0.005627761967480183","0.005585900973528624","0.005652653519064188","335","335","335","0.006952507048845291","0.006885349750518799","0.007091665640473366","335","335","335"
"168","0.0056176984682679175","0.005568297114223242","0.005694856867194176","337","337","337","0.006877788528800011","0.006799037102609873","0.006934287026524544","337","337","337"
"169","0.005658173281699419","0.005604099482297897","0.005709757562726736","339","339","339","0.006902205385267734","0.006789642386138439","0.006972412578761578","339","339","339"
"170","0.0056477683596313","0.005615783855319023","0.005676120985299349","341","341","341","0.006868170108646154","0.0068244049325585365","0.006988727021962404","341","341","341"
"171","0.005673895310610533","0.00564352935180068","0.005702805705368519","343","343","343","0.00689332652837038","0.006782961543649435","0.006968481931835413","343","343","343"
"172","0.005624614842236042","0.005586444400250912","0.0056525422260165215","345","345","345","0.006892224308103323","0.006788596976548433","0.007024087943136692","345","345","345"
"173","0.005598534271121025","0.0055471197701990604","0.005620876327157021","347","347","347","0.006841623410582543","0.0068137384951114655","0.006859164219349623","347","347","347"
"174","0.0056272965855896475","0.005577814765274525","0.005709880962967873","349","349","349","0.0068545850925147535","0.006788232363760471","0.006943380460143089","349","349","349"
"175","0.005620961356908083","0.005590848159044981","0.0057114847004413605","351","351","351","0.006874448899179697","0.006849924102425575","0.0069004083052277565","351","351","351"
"176","0.005608123075217008","0.005529648624360561","0.005667607765644789","353","353","353","0.006811440363526345","0.006678625009953976","0.006954618263989687","353","353","353"
"177","0.0056015273556113245","0.005571319255977869","0.0056323399767279625","355","355","355","0.006773618049919605","0.006682706531137228","0.0068545532412827015","355","355","355"
"178","0.005579682439565659","0.005545308347791433","0.0056218975223600864","357","357","357","0.006879292521625757","0.00682185310870409","0.006986994296312332","357","357","357"
"179","0.005553489085286856","0.005517227109521627","0.005600388161838055","359","359","359","0.006831526849418878","0.0067469337955117226","0.006910713855177164","359","359","359"
"180","0.005579386558383703","0.005553624592721462","0.005611817352473736","361","361","361","0.006748474668711424","0.006653029937297106","0.006907575763761997","361","361","361"
"181","0.005561082903295755","0.005524082574993372","0.005650536622852087","363","363","363","0.006777503993362188","0.0067230151034891605","0.00685581099241972","363","363","363"
"182","0.005561798904091119","0.005513560958206654","0.005611843429505825","365","365","365","0.00677258325740695","0.006696230266243219","0.006836862303316593","365","365","365"
"183","0.0055542695336043835","0.0055268751457333565","0.005588125437498093","367","367","367","0.006764917355030775","0.0067029534839093685","0.0068768649362027645","367","367","367"
